Economy,2025 US Imports (USD),Annex A Exempt (USD),Exempt %
Algeria,2305091994,2123190284,92.1%
Angola,1076901103,1014399581,94.2%
Argentina,8872640845,5165079844,58.2%
Australia,28867930925,17090717178,59.2%
The Bahamas,2598921938,580305930,22.3%
Bahrain,1203931096,251970749,20.9%
Bangladesh,9644012565,48931361,0.5%
Brazil,39861392925,16100758090,40.4%
Cambodia,15379726346,535518888,3.5%
Canada,382040199761,181880913993,47.6%
Chile,18964641088,10205222442,53.8%
China,299836044526,107475911644,35.8%
Colombia,17686250804,8478785940,47.9%
Costa Rica,13388150493,2568107585,19.2%
Dominican Republic,7545664294,965930970,12.8%
Ecuador,9387480822,5019697398,53.5%
Egypt,2872076781,238484887,8.3%
El Salvador,2308618685,209797249,9.1%
European Union,626587588629,314704828083,50.2%
Guatemala,5175233700,249150321,4.8%
Guyana,5187540316,5060671660,97.6%
Honduras,5437452323,1255964430,23.1%
Hong Kong,4923013241,2343744226,47.6%
India,104112992076,56481549713,54.3%
Indonesia,34732607138,5194825917,15.0%
Iraq,6278810196,6185130386,98.5%
Israel,20236486359,11646572706,57.6%
Japan,144338289121,41809141136,29.0%
Jordan,3081161514,264419795,8.6%
Kazakhstan,4138617359,3997801468,96.6%
Kuwait,1399766889,1340629698,95.8%
Libya,1930125551,1926538499,99.8%
Malaysia,57560934417,34574812782,60.1%
Mexico,533260305719,202222414017,37.9%
Morocco,1731539241,500171992,28.9%
New Zealand,5567509832,521229587,9.4%
Nicaragua,4996906987,1488694229,29.8%
Nigeria,5190791570,4969663060,95.7%
Norway,6682505766,3118613111,46.7%
Oman,1124636687,128204042,11.4%
Pakistan,5470358697,55586938,1.0%
Peru,10734850112,3592425247,33.5%
Philippines,16209725120,10068230673,62.1%
Qatar,2034303164,1429598707,70.3%
Russia,3721685983,3500871798,94.1%
Saudi Arabia,10260385028,8879818410,86.5%
Singapore,36104528308,24029162812,66.6%
South Africa,15971685919,12564898927,78.7%
South Korea,123674438748,45631236337,36.9%
Sri Lanka,3209787333,264443402,8.2%
Switzerland,106119684630,82913924222,78.1%
Taiwan,198247504826,165246744614,83.4%
Thailand,90777656750,55195067675,60.8%
Trinidad and Tobago,2755888212,1513100010,54.9%
Türkiye,16505790393,3305680743,20.0%
United Arab Emirates,7533910746,1914545535,25.4%
United Kingdom,65458672098,29074836740,44.4%
Uruguay,1574797410,289455631,18.4%
Venezuela,4048783050,3626166493,89.6%
Vietnam,198061263186,105984980344,53.5%
