HS_Code,Description,Exemption_List,Scope_Limitation
0201.10.05,"Bovine carcasses and halves, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.10.10,"Bovine carcasses and halves, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.10.50,"Bovine carcasses and halves, fresh or chilled, other than described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.20.02,"High-quality beef cuts, with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.20.04,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.20.06,"Bovine meat cuts, with bone in, not processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.20.10,"High-quality beef cuts, with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.20.30,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.20.50,"Bovine meat cuts, with bone in, not processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.20.80,"Bovine meat cuts, with bone in, fresh or chilled, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.30.02,"High-quality beef cuts, boneless, processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.30.04,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.30.06,"Bovine meat cuts, boneless, not processed, fresh or chilled, described in general note 15 of the HTSUS",both,
0201.30.10,"High-quality beef cuts, boneless, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.30.30,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.30.50,"Bovine meat cuts, boneless, not processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0201.30.80,"Bovine meat cuts, boneless, fresh or chilled, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.10.05,"Bovine carcasses and halves, frozen, described in general note 15 of the HTSUS",both,
0202.10.10,"Bovine carcasses and halves, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.10.50,"Bovine carcasses and halves, frozen, other than described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.20.02,"High-quality beef cuts, with bone in, processed, frozen, described in general note 15 of the HTSUS",both,
0202.20.04,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, frozen, described in general note 15 of the HTSUS",both,
0202.20.06,"Bovine meat cuts, with bone in, not processed, frozen, described in general note 15 of the HTSUS",both,
0202.20.10,"High-quality beef cuts, with bone in, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.20.30,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.20.50,"Bovine meat cuts, with bone in, not processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.20.80,"Bovine meat cuts, with bone in, frozen, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.30.02,"High-quality beef cuts, boneless, processed, frozen, described in general note 15 of the HTSUS",both,
0202.30.04,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, frozen, described in general note 15 of the HTSUS",both,
0202.30.06,"Bovine meat cuts, boneless, not processed, frozen, described in general note 15 of the HTSUS",both,
0202.30.10,"High-quality beef cuts, boneless, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.30.30,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",both,
0202.30.80,"Bovine meat cuts, boneless, frozen, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",both,
0206.10.00,"Edible offal of bovine animals, fresh or chilled",both,
0206.21.00,"Tongues of bovine animals, frozen",both,
0206.22.00,"Livers of bovine animals, frozen",both,
0206.29.00,"Edible offal of bovine animals, except tongues or livers, frozen",both,
0210.20.00,"Meat of bovine animals, salted, in brine, dried or smoked",both,
0508.00.00,"Coral, shells, cuttlebone and similar materials, unworked or simply prepared but not cut to shape; powder and waste thereof",both,
0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi",new,
0602.10.00,Unrooted cuttings and slips of live plants,new,
0701.10.00,"Seed potatoes, fresh or chilled",new,
0702.00.20,"Tomatoes, fresh or chilled, if entered during the period from March 1 to July 14, or the period from September 1 to November 14 in any year",both,
0702.00.40,"Tomatoes, fresh or chilled, if entered during the period from July 15 to August 31 in any year",both,
