HS Code,Description,New or Existing,Applies To,Scope Limitation
0201.10.05,"Bovine carcasses and halves, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.10.10,"Bovine carcasses and halves, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.10.50,"Bovine carcasses and halves, fresh or chilled, other than described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.02,"High-quality beef cuts, with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.04,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.06,"Bovine meat cuts, with bone in, not processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.10,"High-quality beef cuts, with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.30,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.50,"Bovine meat cuts, with bone in, not processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.20.80,"Bovine meat cuts, with bone in, fresh or chilled, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.02,"High-quality beef cuts, boneless, processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.04,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.06,"Bovine meat cuts, boneless, not processed, fresh or chilled, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.10,"High-quality beef cuts, boneless, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.30,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.50,"Bovine meat cuts, boneless, not processed, fresh or chilled, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0201.30.80,"Bovine meat cuts, boneless, fresh or chilled, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.10.05,"Bovine carcasses and halves, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.10.10,"Bovine carcasses and halves, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.10.50,"Bovine carcasses and halves, frozen, other than described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.02,"High-quality beef cuts, with bone in, processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.04,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.06,"Bovine meat cuts, with bone in, not processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.10,"High-quality beef cuts, with bone in, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.30,"Bovine meat cuts (except high-quality beef cuts), with bone in, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.50,"Bovine meat cuts, with bone in, not processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.20.80,"Bovine meat cuts, with bone in, frozen, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.02,"High-quality beef cuts, boneless, processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.04,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.06,"Bovine meat cuts, boneless, not processed, frozen, described in general note 15 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.10,"High-quality beef cuts, boneless, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.30,"Bovine meat cuts (except high-quality beef cuts), boneless, processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.50,"Bovine meat cuts, boneless, not processed, frozen, described in additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0202.30.80,"Bovine meat cuts, boneless, frozen, not described in general note 15 or additional U.S. note 3 to chapter 2 of the HTSUS",Existing,All investigated economies (universal list),
0206.10.00,"Edible offal of bovine animals, fresh or chilled",Existing,All investigated economies (universal list),
0206.21.00,"Tongues of bovine animals, frozen",Existing,All investigated economies (universal list),
0206.22.00,"Livers of bovine animals, frozen",Existing,All investigated economies (universal list),
0206.29.00,"Edible offal of bovine animals, except tongues or livers, frozen",Existing,All investigated economies (universal list),
0210.20.00,"Meat of bovine animals, salted, in brine, dried or smoked",Existing,All investigated economies (universal list),
0508.00.00,"Coral, shells, cuttlebone and similar materials, unworked or simply prepared but not cut to shape; powder and waste thereof",Existing,All investigated economies (universal list),
0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi",New,All investigated economies (universal list),
0602.10.00,Unrooted cuttings and slips of live plants,New,All investigated economies (universal list),
0701.10.00,"Seed potatoes, fresh or chilled",New,All investigated economies (universal list),
0702.00.20,"Tomatoes, fresh or chilled, if entered during the period from March 1 to July 14, or the period from September 1 to November 14 in any year",Existing,All investigated economies (universal list),
0702.00.40,"Tomatoes, fresh or chilled, if entered during the period from July 15 to August 31 in any year",Existing,All investigated economies (universal list),
0702.00.60,"Tomatoes, fresh or chilled, if entered during the period from November 15, in any year, to the last day of February of the following year",Existing,All investigated economies (universal list),
0709.99.05,"Jicamas and breadfruit, fresh or chilled",Existing,All investigated economies (universal list),
0709.99.10,"Chayote (Sechium edule), fresh or chilled",Existing,All investigated economies (universal list),
0710.80.15,"Bamboo shoots and water chestnuts (other than Chinese water chestnuts), uncooked or cooked by steaming or boiling in water, frozen",Existing,All investigated economies (universal list),
0711.90.30,"Capers, provisionally preserved but unsuitable in that state for immediate consumption",Existing,All investigated economies (universal list),
0712.32.00,"Dried wood ears (Auricularia spp.), whole, cut, sliced, broken or in powder, but not further prepared",Existing,All investigated economies (universal list),
0712.34.10,Air dried or sun dried shiitake,Existing,All investigated economies (universal list),
0712.34.20,Dried (other than air dried or sun dried) shiitake,Existing,All investigated economies (universal list),
0712.90.8550,Sweet corn seeds of a kind used for sowing,New,All investigated economies (universal list),
0713.10.10,Seeds of peas of a kind used for sowing,New,All investigated economies (universal list),
0713.20.10,Seeds of chickpeas (garbanzos) of a kind used for sowing,New,All investigated economies (universal list),
0713.31.10,Seeds of beans of a kind used for sowing,New,All investigated economies (universal list),
0713.32.10,Seeds of small red (adzuki) beans of a kind used for sowing,New,All investigated economies (universal list),
0713.33.10,"Seeds of kidney beans, including white pea beans of a kind used for sowing",New,All investigated economies (universal list),
0713.34.10,"Dried seeds of Bambara beans, of a kind used for sowing",New,All investigated economies (universal list),
0713.34.20,"Dried Bambara beans, shelled, if entered for consumption during the period from May 1 through August 31, inclusive, in any year",Existing,All investigated economies (universal list),
0713.34.40,"Dried Bambara beans, shelled, if entered for consumption outside the above period, or if withdrawn for consumption",Existing,All investigated economies (universal list),
0713.39.11,"Seeds of beans nesoi, of a kind used for sowing",New,All investigated economies (universal list),
0713.40.10,Lentil seeds of a kind used for sowing,New,All investigated economies (universal list),
0713.50.10,Seeds of broad beans and horse beans of a kind used for sowing,New,All investigated economies (universal list),
0713.60.10,"Dried pigeon pea seeds, of a kind used for sowing",New,All investigated economies (universal list),
0713.90.11,"Seeds of leguminous vegetables nesoi, of a kind used for sowing",New,All investigated economies (universal list),
0713.90.50,"Dried guar seeds, shelled",New,All investigated economies (universal list),
0714.10.10,"Cassava (manioc), frozen, whether or not sliced or in the form of pellets",Existing,All investigated economies (universal list),
0714.10.20,"Cassava (manioc), fresh, chilled or dried, whether or not sliced or in the form of pellets",Existing,All investigated economies (universal list),
0714.40.10,"Taro (Colocasia spp.), fresh or chilled, whether or not sliced or in the form of pellets",Existing,All investigated economies (universal list),
0714.40.20,"Taro (Colocasia spp.), frozen",Existing,All investigated economies (universal list),
0714.40.50,"Taro (Colocasia spp.), dried, in the form of pellets",Existing,All investigated economies (universal list),
0714.40.60,"Taro (Colocasia spp.), dried, whether or not sliced but not in pellets",Existing,All investigated economies (universal list),
0714.50.10,"Yautia (Xanthosoma spp.), fresh or chilled, whether or not sliced or in the form of pellets",Existing,All investigated economies (universal list),
0714.50.20,"Yautia (Xanthosoma spp.), frozen",Existing,All investigated economies (universal list),
0714.50.60,"Yautia (Xanthosoma spp.), dried, whether or not sliced but not in pellets",Existing,All investigated economies (universal list),
0714.90.42,"Other mixtures of Chinese water chestnuts, frozen",Existing,All investigated economies (universal list),
0714.90.44,"Chinese water chestnuts, not mixed, frozen",Existing,All investigated economies (universal list),
0714.90.46,"Frozen dasheens, arrowroot, salep, Jerusalem artichokes, and similar roots and tubers, nesoi",Existing,All investigated economies (universal list),
0714.90.48,"Chinese water chestnuts, dried",Existing,All investigated economies (universal list),
0714.90.61,"Dried dasheens, arrowroot, salep, Jerusalem artichokes, and similar roots and tubers nesoi, whether or not sliced but not in pellets",Existing,All investigated economies (universal list),
0801.11.00,"Coconuts, desiccated",Existing,All investigated economies (universal list),
0801.12.00,"Coconuts, fresh, in the inner shell (endocarp)",Existing,All investigated economies (universal list),
0801.19.01,"Coconuts, fresh, not in the inner shell (endocarp)",Existing,All investigated economies (universal list),
0801.21.00,"Brazil nuts, fresh or dried, in shell",Existing,All investigated economies (universal list),
0801.22.00,"Brazil nuts, fresh or dried, shelled",Existing,All investigated economies (universal list),
0801.31.00,"Cashew nuts, fresh or dried, in shell",Existing,All investigated economies (universal list),
0801.32.00,"Cashew nuts, fresh or dried, shelled",Existing,All investigated economies (universal list),
0802.41.00,"Chestnuts (Castanea spp.), fresh or dried, in shell",Existing,All investigated economies (universal list),
0802.42.00,"Chestnuts (Castanea spp.), fresh or dried, shelled",Existing,All investigated economies (universal list),
0802.61.00,"Macadamia nuts, in shell",Existing,All investigated economies (universal list),
0802.62.00,"Macadamia nuts, shelled",Existing,All investigated economies (universal list),
0802.70.10,"Kola nuts (Cola spp.), fresh or dried, in shell",Existing,All investigated economies (universal list),
0802.70.20,"Kola nuts (Cola spp.), fresh or dried, shelled",Existing,All investigated economies (universal list),
0802.80.10,"Areca nuts, fresh or dried, in shell",Existing,All investigated economies (universal list),
0802.80.20,"Areca nuts, fresh or dried, shelled",Existing,All investigated economies (universal list),
0802.91.10,"Pignolia pine nuts, fresh or dried, in shell",Existing,All investigated economies (universal list),
0802.91.90,"Pine nuts (other than Pignolia), fresh or dried, in shell",Existing,All investigated economies (universal list),
0802.92.10,"Pignolia pine nuts, fresh or dried, shelled",Existing,All investigated economies (universal list),
0802.92.90,"Pine nuts (other than Pignolia), fresh or dried, shelled",Existing,All investigated economies (universal list),
0803.10.10,"Plantains, fresh",Existing,All investigated economies (universal list),
0803.10.20,"Plantains, dried",Existing,All investigated economies (universal list),
0803.90.00,"Bananas, fresh or dried",Existing,All investigated economies (universal list),
0804.30.20,"Pineapples, fresh or dried, not reduced in size, in bulk",Existing,All investigated economies (universal list),
0804.30.40,"Pineapples, fresh or dried, not reduced in size, in crates or other packages",Existing,All investigated economies (universal list),
0804.30.60,"Pineapples, fresh or dried, reduced in size",Existing,All investigated economies (universal list),
0804.40.00,"Avocados, fresh or dried",Existing,All investigated economies (universal list),
0804.50.40,"Guavas, mangoes and mangosteens, fresh, if entered during the period September 1 through the following May 31, inclusive",Existing,All investigated economies (universal list),
0804.50.60,"Guavas, mangoes and mangosteens, fresh, if entered during the period June 1 through August 31, inclusive",Existing,All investigated economies (universal list),
0804.50.80,"Guavas, mangoes and mangosteens, dried",Existing,All investigated economies (universal list),
0805.10.00,"Oranges, fresh or dried",Existing,All investigated economies (universal list),
0805.50.30,"Tahitian limes, Persian limes and other limes of the Citrus latifolia variety, fresh or dried",Existing,All investigated economies (universal list),
0805.50.40,"Limes of the Citrus aurantifolia variety, nesoi, fresh or dried",Existing,All investigated economies (universal list),
0805.90.01,Etrogs,Existing,All investigated economies (universal list),Ex
0807.20.00,"Papayas (papaws), fresh",Existing,All investigated economies (universal list),
0808.40.20,"Quinces, fresh, if entered during the period from April 1 through June 30, inclusive",Existing,All investigated economies (universal list),
0808.40.40,"Quinces, fresh, if entered during the period from July 1 through the following March 31, inclusive",Existing,All investigated economies (universal list),
0810.50.00,"Kiwifruit, fresh",Existing,All investigated economies (universal list),
0810.60.00,"Durians, fresh",Existing,All investigated economies (universal list),
0810.90.27,"Other berries and tamarinds, fresh",Existing,All investigated economies (universal list),
0810.90.46,"Fruit, nesoi, fresh",Existing,All investigated economies (universal list),
0811.90.10,"Bananas and plantains, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.25,"Cashew apples, mameyes colorados, sapodillas, soursops and sweetsops, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
0811.90.30,"Coconut meat, frozen, in water or containing added sweetening",Existing,All investigated economies (universal list),
