HS Code,Description,Status
0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi",New (added in July)
0602.10.00,Unrooted cuttings and slips of live plants,New (added in July)
0701.10.00,"Seed potatoes, fresh or chilled",New (added in July)
0712.90.8550,Sweet corn seeds of a kind used for sowing,New (added in July)
0713.10.10,Seeds of peas of a kind used for sowing,New (added in July)
0713.20.10,Seeds of chickpeas (garbanzos) of a kind used for sowing,New (added in July)
0713.31.10,Seeds of beans of a kind used for sowing,New (added in July)
0713.32.10,Seeds of small red (adzuki) beans of a kind used for sowing,New (added in July)
0713.33.10,"Seeds of kidney beans, including white pea beans of a kind used for sowing",New (added in July)
0713.34.10,"Dried seeds of Bambara beans, of a kind used for sowing",New (added in July)
0713.39.11,"Seeds of beans nesoi, of a kind used for sowing",New (added in July)
0713.40.10,Lentil seeds of a kind used for sowing,New (added in July)
0713.50.10,Seeds of broad beans and horse beans of a kind used for sowing,New (added in July)
0713.60.10,"Dried pigeon pea seeds, of a kind used for sowing",New (added in July)
0713.90.11,"Seeds of leguminous vegetables nesoi, of a kind used for sowing",New (added in July)
0713.90.50,"Dried guar seeds, shelled",New (added in July)
1001.11.00,"Durum wheat, seed",New (added in July)
1001.91.00,"Seed of wheat and meslin, other than durum wheat",New (added in July)
1002.10.00,"Rye, seed",New (added in July)
1003.10.00,"Barley, seed",New (added in July)
1004.10.00,"Oats, seed",New (added in July)
1005.10.00,Seed corn (maize),New (added in July)
1007.10.00,"Grain sorghum, seed",New (added in July)
1008.21.00,"Millet, seed",New (added in July)
1201.10.00,"Soybeans, whether or not broken, seed",New (added in July)
1202.30.05,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to gen note 15 of the HTS",New (added in July)
1202.30.40,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, subject to add. US note 2 to Ch.12",New (added in July)
1202.30.80,"Peanuts (ground-nuts), seed, not roasted or cooked, shelled, not subject to gen note 15 or add. US note 2 to Ch.12",New (added in July)
1204.00.0010,"Flaxseed (linseed), whether or not broken, for sowing",New (added in July)
1205.10.0010,"Low erucic acid rape or colza seeds, for sowing",New (added in July)
1205.90.0010,"Rape or colza seeds (other than of low erucic acid), whether or not broken, for sowing",New (added in July)
1206.00.0031,"Sunflower seeds, whether or not broken, for sowing",New (added in July)
1207.21.00,"Cotton seeds, whether or not broken, seed for sowing",New (added in July)
1207.30.00,"Castor oil seeds, for sowing",New (added in July)
1207.40.00,"Sesame seeds, whether or not broken, for sowing",New (added in July)
1207.50.00,"Mustard seeds, whether or not broken, for sowing",New (added in July)
1207.60.00,"Safflower (Carthamus tintorius) seeds, for sowing",New (added in July)
1207.70.00,Melon seeds,New (added in July)
1207.99.03,"Other oil seeds and oleaginous fruits whether or not broken, including niger seeds, hemp seeds and seeds nesoi, for sowing",New (added in July)
1209.10.00,Sugar beet seeds of a kind used for sowing,New (added in July)
1209.21.00,Alfalfa (lucerne) seed of a kind used for sowing,New (added in July)
1209.22.20,White and ladino clover seeds of a kind used for sowing,New (added in July)
1209.22.40,"Clover seeds, other than white and ladino, of a kind used for sowing",New (added in July)
1209.23.00,Fescue seeds of a kind used for sowing,New (added in July)
1209.24.00,Kentucky blue grass seeds of a kind used for sowing,New (added in July)
1209.25.00,Rye grass seeds of a kind used for sowing,New (added in July)
1209.29.10,"Beet seed, other than sugar beet seed, of a kind used for sowing",New (added in July)
1209.29.91,"Seeds of forage plants of a kind used for sowing, not elsewhere specified or included",New (added in July)
1209.30.00,Seeds of herbaceous plants cultivated principally for their flowers,New (added in July)
1209.91.10,Cauliflower seeds of a kind used for sowing,New (added in July)
1209.91.20,Celery seeds of a kind used for sowing,New (added in July)
1209.91.40,Onion seeds of a kind used for sowing,New (added in July)
1209.91.50,Parsley seeds of a kind used for sowing,New (added in July)
1209.91.60,Pepper seeds of a kind used for sowing,New (added in July)
1209.91.80,"Vegetable seeds, nesoi, of a kind used for sowing",New (added in July)
1209.99.20,Tree and shrub seeds of a kind used for sowing,New (added in July)
1209.99.41,"Seeds, fruits and spores, of a kind used for sowing, nesoi",New (added in July)
1701.12.10,"Beet sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",New (added in July)
1701.13.10,"Cane sugar, raw, specified in subheading 2 and subject to add'l note 5 to this chapter, in solid form, w/o added flavoring or coloring",New (added in July)
1701.14.10,"Other cane sugar, raw, in solid form, w/o added flavoring or coloring, subject to add. US 5 to Ch.17",New (added in July)
1701.91.10,"Cane/beet sugar & pure sucrose, refined, solid, w/added coloring but not flav., subject to add. US 5 to Ch.17",New (added in July)
1701.99.10,"Cane/beet sugar & pure sucrose, refined, solid, w/o added coloring or flavoring, subject to add. US 5 to Ch.17",New (added in July)
1702.90.10,"Cane/beet sugars & syrups (incl. invert sugar); nesoi, w/soluble non-sugar solids 6% or less soluble solids, subj Ch17 US note 5",New (added in July)
2008.30.35,Orange pulp,New (added in July)
2101.11.21,"Instant coffee, not flavored",New (added in July)
2106.90.44,"Syrups from cane/beet sugar, neosi, w/added coloring but not added flavoring, subject to add US note 5 to Ch. 17, not GN15",New (added in July)
2503.00.00,"Sulfur of all kinds, other than sublimed, precipitated and colloidal sulfur",New (added in July)
2601.11.00,Non-agglomerated iron ores and concentrates,New (added in July)
2601.20.00,Agglomerated iron ores and concentrates,New (added in July)
2802.00.00,"Sulfur, sublimed or precipitated; colloidal sulfur",New (added in July)
2804.10.00,Hydrogen,New (added in July)
2804.30.00,Nitrogen,New (added in July)
2806.10.00,Hydrogen chloride (Hydrochloric acid),New (added in July)
2807.00.00,Sulfuric acid; oleum,New (added in July)
2809.20.00,Phosphoric acid and polyphosphoric acids,New (added in July)
2811.12.00,Hydrogen cyanide,New (added in July)
2811.22.50,"Silicon dioxide, other than synthetic silica gel",New (added in July)
2812.12.00,Phosphorus oxychloride,New (added in July)
2814.10.00,Anhydrous ammonia,New (added in July)
2814.20.00,Ammonia in aqueous solution,New (added in July)
2815.11.00,"Sodium hydroxide (Caustic soda), solid",New (added in July)
2815.12.00,"Sodium hydroxide (Caustic soda), in aqueous solution (Soda lye or liquid soda)",New (added in July)
2815.30.00,Peroxides of sodium or potassium,New (added in July)
2818.30.00,Aluminum hydroxide,New (added in July)
2825.10.00,Hydrazine and hydroxylamine and their inorganic salts,New (added in July)
2825.30.00,Vanadium oxides and hydroxides,New (added in July)
2825.90.20,Tin oxides,New (added in July)
2827.39.25,Tin chlorides,New (added in July)
2827.39.65,Zinc chloride,New (added in July)
2827.60.20,Iodide and iodide oxide of potassium,New (added in July)
2832.10.00,Sodium sulfites,New (added in July)
2832.30.10,Sodium thiosulfate,New (added in July)
